#multi:
;masse A;;;masse B;;;
t;x;y;θ;x;y;θ;
1,400;-10,02;2,413;526,5;-2,045;2,715;487,0
1,410;-10,17;2,098;528,3;-2,396;3,906;481,5
1,420;-10,23;1,731;530,4;-2,933;4,957;480,6
1,430;-10,28;1,311;532,7;-3,704;5,775;482,7
1,440;-10,38;1,101;533,9;-4,521;6,523;484,7
1,450;-10,44;0,787;535,7;-5,549;7,083;488,1
1,460;-10,44;0,682;536,3;-6,483;7,410;491,2
1,470;-10,44;0,420;537,7;-7,418;7,644;494,1
1,480;-10,44;0,367;538,0;-8,305;7,761;496,9
1,490;-10,44;0,157;539,1;-9,006;7,761;499,2
1,500;-10,44;5,245E-2;539,7;-9,684;7,690;501,5
1,510;-10,44;-5,245E-2;540,3;-10,20;7,574;503,4
1,520;-10,44;-0,105;540,6;-10,62;7,434;505,0
1,530;-10,44;-0,157;540,9;-10,97;7,293;506,4
1,540;-10,44;-0,315;541,7;-11,25;7,177;507,5
1,550;-10,44;-0,367;542,0;-11,37;7,036;508,2
1,560;-10,44;-0,524;542,9;-11,37;6,896;508,8
1,570;-10,44;-0,629;543,5;-11,23;6,826;508,7
